Tempo (s);m;n;diags;threads;;;;
28.000.000;200;200;399;1;;;1;30.400.000
26.000.000;200;200;399;1;;;2;27.800.000
29.000.000;200;200;399;1;;;3;27.800.000
26.000.000;200;200;399;1;;;4;28.400.000
35.000.000;200;200;399;1;;;5;27.000.000
36.000.000;200;200;399;1;;;6;26.500.000
28.000.000;200;200;399;1;;;7;26.900.000
38.000.000;200;200;399;1;;;8;26.900.000
31.000.000;200;200;399;1;;;9;28.000.000
27.000.000;200;200;399;1;30.400.000;;10;29.800.000
27.000.000;200;200;399;2;30.300.000;;11;28.400.000
31.000.000;200;200;399;2;30.800.000;;12;28.500.000
27.000.000;200;200;399;2;30.600.000;;13;29.100.000
29.000.000;200;200;399;2;30.900.000;;14;29.200.000
28.000.000;200;200;399;2;30.200.000;;15;28.600.000
26.000.000;200;200;399;2;29.200.000;;16;29.300.000
28.000.000;200;200;399;2;29.200.000;;17;
29.000.000;200;200;399;2;28.300.000;;18;
26.000.000;200;200;399;2;27.800.000;;19;
27.000.000;200;200;399;2;27.800.000;x;20;
27.000.000;200;200;399;3;27.800.000;;21;
26.000.000;200;200;399;3;27.300.000;;;
31.000.000;200;200;399;3;27.700.000;;;
28.000.000;200;200;399;3;27.600.000;;;
27.000.000;200;200;399;3;27.500.000;;;
27.000.000;200;200;399;3;27.600.000;;;
26.000.000;200;200;399;3;27.400.000;;;
33.000.000;200;200;399;3;27.800.000;;;
26.000.000;200;200;399;3;27.800.000;;;
27.000.000;200;200;399;3;27.800.000;x;;
27.000.000;200;200;399;4;27.800.000;;;
30.000.000;200;200;399;4;28.200.000;;;
27.000.000;200;200;399;4;27.800.000;;;
27.000.000;200;200;399;4;27.700.000;;;
25.000.000;200;200;399;4;27.500.000;;;
31.000.000;200;200;399;4;27.900.000;;;
35.000.000;200;200;399;4;28.800.000;;;
31.000.000;200;200;399;4;28.600.000;;;
25.000.000;200;200;399;4;28.500.000;;;
26.000.000;200;200;399;4;28.400.000;x;;
26.000.000;200;200;399;5;28.300.000;;;
26.000.000;200;200;399;5;27.900.000;;;
26.000.000;200;200;399;5;27.800.000;;;
26.000.000;200;200;399;5;27.700.000;;;
26.000.000;200;200;399;5;27.800.000;;;
30.000.000;200;200;399;5;27.700.000;;;
27.000.000;200;200;399;5;26.900.000;;;
27.000.000;200;200;399;5;26.500.000;;;
31.000.000;200;200;399;5;27.100.000;;;
25.000.000;200;200;399;5;27.000.000;x;;
26.000.000;200;200;399;6;27.000.000;;;
27.000.000;200;200;399;6;27.100.000;;;
29.000.000;200;200;399;6;27.400.000;;;
26.000.000;200;200;399;6;27.400.000;;;
26.000.000;200;200;399;6;27.400.000;;;
26.000.000;200;200;399;6;27.000.000;;;
27.000.000;200;200;399;6;27.000.000;;;
26.000.000;200;200;399;6;26.900.000;;;
25.000.000;200;200;399;6;26.300.000;;;
27.000.000;200;200;399;6;26.500.000;x;;
26.000.000;200;200;399;7;26.500.000;;;
30.000.000;200;200;399;7;26.800.000;;;
26.000.000;200;200;399;7;26.500.000;;;
30.000.000;200;200;399;7;26.900.000;;;
26.000.000;200;200;399;7;26.900.000;;;
27.000.000;200;200;399;7;27.000.000;;;
28.000.000;200;200;399;7;27.100.000;;;
26.000.000;200;200;399;7;27.100.000;;;
25.000.000;200;200;399;7;27.100.000;;;
25.000.000;200;200;399;7;26.900.000;x;;
27.000.000;200;200;399;8;27.000.000;;;
29.000.000;200;200;399;8;26.900.000;;;
27.000.000;200;200;399;8;27.000.000;;;
29.000.000;200;200;399;8;26.900.000;;;
28.000.000;200;200;399;8;27.100.000;;;
26.000.000;200;200;399;8;27.000.000;;;
25.000.000;200;200;399;8;26.700.000;;;
26.000.000;200;200;399;8;26.700.000;;;
26.000.000;200;200;399;8;26.800.000;;;
26.000.000;200;200;399;8;26.900.000;x;;
28.000.000;200;200;399;9;27.000.000;;;
35.000.000;200;200;399;9;27.600.000;;;
25.000.000;200;200;399;9;27.400.000;;;
27.000.000;200;200;399;9;27.200.000;;;
26.000.000;200;200;399;9;27.000.000;;;
26.000.000;200;200;399;9;27.000.000;;;
34.000.000;200;200;399;9;27.900.000;;;
26.000.000;200;200;399;9;27.900.000;;;
28.000.000;200;200;399;9;28.100.000;;;
25.000.000;200;200;399;9;28.000.000;x;;
29.000.000;200;200;399;10;28.100.000;;;
43.000.000;200;200;399;10;28.900.000;;;
29.000.000;200;200;399;10;29.300.000;;;
28.000.000;200;200;399;10;29.400.000;;;
37.000.000;200;200;399;10;30.500.000;;;
26.000.000;200;200;399;10;30.500.000;;;
26.000.000;200;200;399;10;29.700.000;;;
26.000.000;200;200;399;10;29.700.000;;;
27.000.000;200;200;399;10;29.600.000;;;
27.000.000;200;200;399;10;29.800.000;x;;
26.000.000;200;200;399;11;29.500.000;;;
26.000.000;200;200;399;11;27.800.000;;;
26.000.000;200;200;399;11;27.500.000;;;
29.000.000;200;200;399;11;27.600.000;;;
35.000.000;200;200;399;11;27.400.000;;;
27.000.000;200;200;399;11;27.500.000;;;
26.000.000;200;200;399;11;27.500.000;;;
25.000.000;200;200;399;11;27.400.000;;;
27.000.000;200;200;399;11;27.400.000;;;
37.000.000;200;200;399;11;28.400.000;x;;
25.000.000;200;200;399;12;28.300.000;;;
30.000.000;200;200;399;12;28.700.000;;;
38.000.000;200;200;399;12;29.900.000;;;
27.000.000;200;200;399;12;29.700.000;;;
28.000.000;200;200;399;12;29.000.000;;;
25.000.000;200;200;399;12;28.800.000;;;
32.000.000;200;200;399;12;29.400.000;;;
26.000.000;200;200;399;12;29.500.000;;;
29.000.000;200;200;399;12;29.700.000;;;
25.000.000;200;200;399;12;28.500.000;x;;
26.000.000;200;200;399;13;28.600.000;;;
44.000.000;200;200;399;13;30.000.000;;;
27.000.000;200;200;399;13;28.900.000;;;
25.000.000;200;200;399;13;28.700.000;;;
35.000.000;200;200;399;13;29.400.000;;;
26.000.000;200;200;399;13;29.500.000;;;
27.000.000;200;200;399;13;29.000.000;;;
28.000.000;200;200;399;13;29.200.000;;;
26.000.000;200;200;399;13;28.900.000;;;
27.000.000;200;200;399;13;29.100.000;x;;
27.000.000;200;200;399;14;29.200.000;;;
27.000.000;200;200;399;14;27.500.000;;;
37.000.000;200;200;399;14;28.500.000;;;
33.000.000;200;200;399;14;29.300.000;;;
32.000.000;200;200;399;14;29.000.000;;;
27.000.000;200;200;399;14;29.100.000;;;
30.000.000;200;200;399;14;29.400.000;;;
26.000.000;200;200;399;14;29.200.000;;;
26.000.000;200;200;399;14;29.200.000;;;
27.000.000;200;200;399;14;29.200.000;x;;
27.000.000;200;200;399;15;29.200.000;;;
37.000.000;200;200;399;15;30.200.000;;;
28.000.000;200;200;399;15;29.300.000;;;
29.000.000;200;200;399;15;28.900.000;;;
26.000.000;200;200;399;15;28.300.000;;;
29.000.000;200;200;399;15;28.500.000;;;
27.000.000;200;200;399;15;28.200.000;;;
28.000.000;200;200;399;15;28.400.000;;;
26.000.000;200;200;399;15;28.400.000;;;
29.000.000;200;200;399;15;28.600.000;x;;
26.000.000;200;200;399;16;28.500.000;;;
30.000.000;200;200;399;16;27.800.000;;;
27.000.000;200;200;399;16;27.700.000;;;
29.000.000;200;200;399;16;27.700.000;;;
34.000.000;200;200;399;16;28.500.000;;;
30.000.000;200;200;399;16;28.600.000;;;
28.000.000;200;200;399;16;28.700.000;;;
28.000.000;200;200;399;16;28.700.000;;;
34.000.000;200;200;399;16;29.500.000;;;
26.000.000;200;200;399;16;29.200.000;;;
27.000.000;200;200;399;16;29.300.000;x;;
